iter	Passed	Remaining
162	411	2113
163	413	2107
164	415	2100
165	416	2094
166	418	2086
167	420	2083
168	422	2076
169	423	2069
170	425	2063
171	427	2057
172	429	2051
173	430	2044
174	432	2037
175	434	2033
176	436	2029
177	438	2022
178	439	2016
179	441	2009
180	441	1999
181	443	1993
182	445	1987
183	446	1981
184	448	1975
185	451	1973
186	452	1968
187	454	1961
188	455	1955
189	457	1949
190	458	1943
191	460	1937
192	462	1932
193	463	1926
194	466	1924
195	467	1918
196	469	1913
197	470	1907
198	472	1902
199	474	1896
200	475	1891
201	477	1886
202	480	1885
203	482	1881
204	483	1876
205	485	1871
206	487	1866
207	488	1861
208	490	1856
209	492	1851
210	494	1848
211	496	1845
212	498	1840
213	499	1836
214	501	1831
215	503	1826
216	505	1822
217	506	1818
218	509	1817
219	511	1813
220	513	1810
221	515	1806
222	517	1802
223	518	1797
224	520	1793
225	522	1789
226	525	1788
227	527	1784
228	528	1780
229	530	1777
230	532	1772
231	534	1769
232	536	1765
233	538	1762
234	540	1759
235	542	1755
236	544	1753
237	546	1749
238	548	1746
239	550	1742
240	552	1739
241	554	1736
242	556	1732
243	558	1728
244	559	1724
245	561	1720
246	563	1716
247	564	1712
248	566	1708
249	568	1704
250	569	1700
251	571	1696
252	573	1692
253	575	1689
254	576	1685
255	578	1682
256	580	1678
257	582	1674
258	584	1671
259	586	1668
260	587	1664
261	589	1660
262	591	1657
263	593	1654
264	595	1650
265	596	1647
266	599	1644
267	601	1642
268	603	1638
269	604	1634
270	606	1631
271	608	1627
272	609	1623
273	611	1620
274	613	1617
275	615	1614
276	617	1610
277	619	1607
278	620	1604
279	622	1600
280	624	1597
281	625	1593
282	627	1590
283	630	1588
284	631	1585
285	633	1581
286	635	1577
287	636	1574
288	638	1571
289	640	1567
290	642	1564
291	644	1561
292	646	1559
293	648	1557
294	650	1553
295	651	1550
296	653	1546
297	655	1543
298	657	1540
299	660	1540
300	662	1537
301	664	1535
302	665	1531
303	667	1528
304	669	1525
305	671	1522
306	673	1519
307	675	1517
308	677	1515
309	679	1512
310	681	1508
311	683	1506
312	684	1502
313	686	1499
314	688	1497
315	690	1495
316	692	1492
317	694	1489
318	696	1485
319	697	1482
320	699	1479
321	701	1476
322	703	1474
323	705	1472
324	707	1469
325	709	1466
326	711	1464
327	713	1461
328	715	1458
329	716	1455
330	718	1453
331	720	1449
332	722	1447
333	724	1444
334	726	1441
335	727	1438
336	729	1435
337	731	1432
338	733	1430
339	735	1427
340	736	1424
341	738	1421
342	740	1418
343	742	1415
344	743	1412
345	745	1409
346	747	1407
347	749	1404
348	751	1401
349	752	1398
350	754	1394
351	756	1392
352	757	1389
353	759	1386
354	761	1383
355	763	1381
356	765	1378
357	766	1375
358	768	1372
359	770	1370
360	772	1367
361	774	1364
362	775	1361
363	777	1358
364	779	1355
365	781	1353
366	782	1350
367	784	1347
368	786	1344
369	788	1341
370	789	1338
371	791	1335
372	793	1333
373	794	1330
374	796	1327
375	797	1324
376	799	1321
377	801	1318
378	802	1315
379	804	1312
380	806	1309
381	807	1307
382	809	1304
383	811	1301
384	813	1299
385	814	1296
386	816	1293
387	818	1290
388	819	1287
389	821	1284
390	822	1281
391	824	1279
392	826	1276
393	827	1273
394	829	1270
395	831	1267
396	832	1264
397	834	1262
398	835	1259
399	837	1256
400	839	1253
401	840	1251
402	842	1248
403	844	1245
404	845	1242
405	847	1240
406	849	1237
407	850	1234
408	852	1232
409	854	1229
410	855	1226
411	857	1223
412	858	1220
413	860	1218
414	862	1215
415	863	1212
416	865	1210
417	867	1207
418	868	1204
419	870	1202
420	872	1199
421	873	1196
422	875	1194
423	876	1191
424	878	1188
425	880	1185
426	881	1183
427	883	1180
428	885	1178
429	886	1175
430	888	1172
431	889	1169
432	891	1166
433	892	1164
434	894	1162
435	896	1159
436	897	1156
437	899	1154
438	901	1151
439	902	1149
440	904	1146
441	906	1143
442	907	1141
443	909	1138
444	910	1135
445	912	1133
446	914	1131
447	915	1128
448	917	1125
449	919	1123
450	920	1120
451	922	1118
452	924	1115
453	925	1113
454	927	1110
455	929	1108
456	930	1105
457	932	1103
458	933	1100
459	935	1098
460	936	1095
461	938	1092
462	940	1090
463	941	1088
464	943	1085
465	945	1083
466	947	1080
467	948	1078
468	950	1076
469	952	1073
470	953	1071
471	955	1068
472	956	1066
473	958	1063
474	960	1061
475	962	1059
476	963	1056
477	965	1054
478	967	1052
479	968	1049
480	970	1047
481	972	1044
482	973	1042
483	975	1039
484	976	1037
485	978	1035
486	980	1032
487	981	1030
488	983	1027
489	985	1025
490	986	1022
491	988	1020
492	990	1018
493	991	1015
494	993	1013
495	995	1011
496	996	1008
497	998	1006
498	999	1003
499	1001	1001
500	1002	998
501	1004	996
502	1006	994
503	1007	991
504	1009	989
505	1010	986
506	1012	984
507	1014	982
508	1015	979
509	1017	977
510	1019	975
511	1020	972
512	1022	970
513	1024	968
514	1025	965
515	1027	963
516	1028	961
517	1030	959
518	1032	956
519	1034	954
520	1036	952
521	1037	950
522	1039	948
523	1041	945
524	1042	943
525	1044	941
526	1046	939
527	1047	936
528	1050	935
529	1052	933
530	1053	930
531	1055	928
532	1057	926
533	1058	923
534	1060	921
535	1061	919
536	1063	917
537	1066	915
538	1067	913
539	1069	911
540	1071	908
541	1072	906
542	1074	904
543	1076	902
544	1077	899
545	1080	898
546	1081	895
547	1083	893
548	1084	891
549	1086	888
550	1088	886
551	1089	884
552	1091	882
553	1092	879
554	1094	877
555	1096	875
556	1098	873
557	1099	871
558	1101	869
559	1103	866
560	1104	864
561	1106	862
562	1107	860
563	1109	857
564	1111	855
565	1112	853
566	1114	851
567	1116	848
568	1117	846
569	1119	844
570	1120	842
571	1122	839
572	1124	837
573	1126	835
574	1127	833
575	1129	831
576	1131	829
577	1132	827
578	1134	824
579	1135	822
580	1138	820
581	1140	819
582	1142	816
583	1143	814
584	1145	812
585	1147	810
586	1148	808
587	1150	806
588	1151	803
589	1153	801
590	1155	799
591	1157	797
592	1158	795
593	1160	793
594	1161	790
595	1163	788
596	1165	786
597	1166	784
598	1168	782
599	1170	780
600	1172	778
601	1173	775
602	1175	773
603	1176	771
604	1178	769
605	1179	767
606	1181	765
607	1183	763
608	1185	761
609	1186	758
610	1188	756
611	1190	754
612	1191	752
613	1193	750
614	1194	747
615	1196	745
616	1198	743
617	1199	741
618	1201	739
619	1203	737
620	1204	735
621	1206	733
622	1207	730
623	1209	728
624	1211	726
625	1212	724
626	1214	722
627	1216	720
628	1217	718
629	1219	716
630	1221	714
631	1222	711
632	1224	709
633	1225	707
634	1227	705
635	1229	703
636	1231	701
637	1232	699
638	1234	697
639	1235	695
640	1237	692
641	1238	690
642	1240	688
643	1241	686
644	1244	684
645	1245	682
646	1247	680
647	1248	678
648	1250	676
649	1252	674
650	1253	671
651	1255	669
652	1256	667
653	1258	665
654	1260	663
655	1261	661
656	1263	659
657	1264	657
658	1266	655
659	1268	653
660	1269	651
661	1271	649
662	1272	646
663	1274	645
664	1276	643
665	1278	641
666	1280	639
667	1281	636
668	1283	634
669	1284	632
670	1286	630
671	1288	628
672	1290	627
673	1292	624
674	1293	623
675	1295	621
676	1297	618
677	1299	616
678	1300	614
679	1302	612
680	1304	611
681	1306	609
682	1307	606
683	1309	604
684	1311	603
685	1313	601
686	1314	599
687	1316	597
688	1318	595
689	1320	593
690	1321	591
691	1323	589
692	1325	587
693	1326	584
694	1328	582
695	1329	580
696	1331	578
697	1333	576
698	1335	575
699	1337	573
700	1338	571
701	1340	569
702	1342	567
703	1344	565
704	1345	563
705	1346	560
706	1348	558
707	1350	557
708	1352	555
709	1354	553
710	1355	550
711	1357	548
712	1358	546
713	1360	544
714	1361	542
715	1363	540
716	1365	539
717	1367	537
718	1369	535
719	1370	533
720	1372	531
721	1374	529
722	1375	527
723	1377	525
724	1379	523
725	1381	521
726	1383	519
727	1384	517
728	1386	515
729	1388	513
730	1389	511
731	1391	509
732	1393	507
733	1395	505
734	1396	503
735	1398	501
736	1400	499
737	1401	497
738	1403	495
739	1404	493
740	1406	491
741	1408	489
742	1410	487
743	1411	485
744	1413	483
745	1415	481
746	1416	479
747	1418	477
748	1419	475
749	1421	473
750	1423	471
751	1425	469
752	1426	467
753	1428	466
754	1429	463
755	1431	462
756	1433	460
757	1434	458
758	1436	456
759	1438	454
760	1440	452
761	1442	450
762	1443	448
763	1445	446
764	1447	444
765	1449	442
766	1450	440
767	1452	438
768	1454	436
769	1456	434
770	1457	433
771	1459	431
772	1461	429
773	1462	427
774	1464	425
775	1466	423
776	1467	421
777	1469	419
778	1471	417
779	1473	415
780	1474	413
781	1476	411
782	1478	409
783	1479	407
784	1481	405
785	1483	403
786	1485	402
787	1487	400
788	1488	398
789	1490	396
790	1492	394
791	1494	392
792	1495	390
793	1497	388
794	1499	386
795	1501	384
796	1502	382
797	1504	380
798	1505	378
799	1507	376
800	1509	374
801	1510	372
802	1512	371
803	1514	369
804	1516	367
805	1517	365
806	1519	363
807	1521	361
808	1522	359
809	1524	357
810	1526	355
811	1527	353
812	1529	351
813	1531	349
814	1532	347
815	1534	345
816	1535	344
817	1537	341
818	1538	340
819	1540	338
820	1542	336
821	1543	334
822	1545	332
823	1547	330
824	1549	328
825	1551	326
826	1552	324
827	1554	322
828	1556	321
829	1557	319
830	1560	317
831	1562	315
832	1563	313
833	1565	311
834	1566	309
835	1568	307
836	1570	305
837	1571	303
838	1573	301
839	1575	300
840	1577	298
841	1578	296
842	1580	294
843	1582	292
844	1583	290
845	1585	288
846	1587	286
847	1588	284
848	1590	282
849	1592	280
850	1593	279
851	1595	277
852	1597	275
853	1598	273
854	1600	271
855	1601	269
856	1603	267
857	1605	265
858	1607	263
859	1609	261
860	1610	260
861	1612	258
862	1614	256
863	1616	254
864	1618	252
865	1621	250
866	1623	249
867	1625	247
868	1627	245
869	1629	243
870	1631	241
871	1633	239
872	1636	238
873	1638	236
874	1640	234
875	1643	232
876	1645	230
877	1647	228
878	1650	227
879	1652	225
880	1655	223
881	1657	221
882	1659	219
883	1660	217
884	1662	216
885	1664	214
886	1666	212
887	1668	210
888	1669	208
889	1671	206
890	1673	204
891	1675	202
892	1678	201
893	1680	199
894	1682	197
895	1684	195
896	1686	193
897	1688	191
898	1690	189
899	1692	188
900	1694	186
901	1698	184
902	1700	182
903	1702	180
904	1708	179
905	1711	177
906	1713	175
907	1715	173
908	1717	171
909	1719	170
910	1721	168
911	1723	166
912	1725	164
913	1727	162
914	1729	160
915	1731	158
916	1733	156
917	1736	155
918	1738	153
919	1740	151
920	1742	149
921	1744	147
922	1746	145
923	1748	143
924	1750	141
925	1752	140
926	1753	138
927	1755	136
928	1757	134
929	1759	132
930	1761	130
931	1763	128
932	1765	126
933	1767	124
934	1768	122
935	1770	121
936	1772	119
937	1774	117
938	1775	115
939	1777	113
940	1778	111
941	1780	109
942	1782	107
943	1783	105
944	1785	103
945	1787	102
946	1788	100
947	1790	98
948	1792	96
949	1793	94
950	1795	92
951	1796	90
952	1798	88
953	1800	86
954	1802	84
955	1803	83
956	1805	81
957	1807	79
958	1808	77
959	1810	75
960	1812	73
961	1813	71
962	1815	69
963	1817	67
964	1819	65
965	1821	64
966	1822	62
967	1824	60
968	1826	58
969	1828	56
970	1830	54
971	1831	52
972	1833	50
973	1835	49
974	1837	47
975	1839	45
976	1840	43
977	1842	41
978	1844	39
979	1845	37
980	1847	35
981	1849	33
982	1850	32
983	1852	30
984	1854	28
985	1855	26
986	1857	24
987	1859	22
988	1861	20
989	1863	18
990	1864	16
991	1866	15
992	1868	13
993	1870	11
994	1872	9
995	1874	7
996	1875	5
997	1878	3
998	1880	1
999	1882	0
